ang ku kueh,Literally means Red Tortoise Cake. A small Chinese pastry having a soft sticky glutinous rice flour skin with a sweet filling of bean or peanuts. It is molded to resemble a tortoise shell and is traditionally considered auspicious as it symbolises longevity and good fortune.
ah balling ,"Glutinous rice balls filled with red bean, green bean, yam , peanut or sesame seed paste. Originally a Teochew dessert specialty, but no longer exclusively limited to being sold by the group. Normally served hot with sweet clear syrupy soup or other variations such as soya bean milk, peanut paste or coconut extract. This is really the equivalent of the Chinese tang1 yuan2 (汤圆) dish in mainland China and other places."
ayam buah keluak,"A Peranakan (Straits-Chinese) dish made with chicken (ayam) braised in a thick, spicy tamarind gravy with buah keluak (the black nuts of the Pangium edule found in mangrove swamps)."
ayam penyet,"Smashed fried chicken;  a Javanese dish where fried chicken dish is smashed with pestle against mortar to make it softer, and served with sambal, slices of cucumbers and fried tofu."
bak chang,"Steamed glutinous rice dumplings, usually filled with pork and mushrooms, and wrapped in bamboo leaves."
bak chor mee ,"A noodle dish served with minced meat or pork slices, with other ingredients such as pork liver, stewed sliced mushrooms and bits of deep-fried lard. An important component of the dish is the sauce which consists of chili, vinegar and other condiments such as soy sauce and pepper."
bak kut teh ,"Pork ribs soup. There are two main styles of cooking, the first serves up peppery and saltish clear soup. The second variety consists of a darker soya-sauce coloured soup with herbs and spices such as cinnamon."
ban chang kueh,"Crispy pancakes made from flour, and filled with crushed peanuts and sugar."
beef kway teow ,"Flat rice noodles (kway teow) served with beef slices and/or minced beef balls. There is usually also a choice of alternative noodles such as yellow noodles (mee) and bee hoon (vermicelli). Chinese names 牛肉粿条, 牛肉粉."
beef rendang,A Malay dish made by simmering beef in coconut milk and spices until the meat is coated with a thick sauce; sometimes described as caramelised beef curry.
kueh,"All varieties of confectioneries, cakes, breads and pastries. Includes traditional 'kueh' (Malay for cake. Also spelt 'kweh' and, particularly in Malaysia and Indonesia, 'kuih') and other local snacks and desserts."
carrot cake ,"Dialect name ""chye tow kway"" or in Chinese, 菜头粿. Contrary to its name, ""carrot cake"" contains no carrots and is not a cake in the usual sense of the word. ""Carrot cake"" in Singapore is usually steamed minced radish mixed with flour. It is normally fried with eggs with served with some light garnishing of spring onions or chye-poh (preserved radish). It is also served piping hot in it's steamed form at tim-sum shops."
chap chye,A mixed vegetable stem comprising mainly cabbage stewed with timchok (sweet beancake) and bean curd skins.
chapati,An Indian unleavened flatbread made from wholewheat flour.
char kway teow ,"Also called Fried Kway Teow (炒粿条). Other spellings include Cha Kuay Teow or Chao Kua Tiao, the latter being a bastardisation with the pinyinized name (chao guo tiao) of 炒粿条. This simple dish is made by wok-frying kway teow (flat rice noodles) and mee (round yellow noodles) in dark sweet soya sauce. It is a norm to stir in egg-mix, diced garlic and small amounts of bean sprouts. Some places will throw in a few slices of fish cake. Many hawkers use small pieces of deep-fried lard for flavouring and it is almost de rigueur to eat this dish with fresh cockles that is thrown into the wok at the end of the frying. 

There is a Penang version which uses only the kway teow noodles and is cooked with much less use of dark soya sauce. The end result is discernably whiter and less sweet than the Singapore version."
chee cheong fun,"A rice noodle roll filled with shrimp, pork, beef, vegetables, or other ingredients; or without filling and eaten with soy sauce, sesame oil, sweet sauce, chilli or a combination of sauces."
chendol,"A traditional South-East Asian dessert made from shaved ice, coconut milk, palm sugar and jelly noodles made from rice flour with green food coloring (usually derived from the pandan leaves)."
cheng tng ,"Traditional chinese sweet dessert soup made with longans, barely, gingko nuts (rare) and white fungus (rare). Served cold or hot."
chicken rice ,"The well-known dish made famous to foreigners by the Chatterbox restaurant at the Mandarin Hotel in Orchard Road. Most versions originate from the Hainanese style of steamed chicken served with chicken stock flavoured rice. Today, most stalls offer a 'brown' or roasted chicken meat as well and this version is probably even more popular than the 'white' steamed version which is more difficult to keep as fresh. Some places offer a rarer soya-sauce steamed version that is not roasted."
chwee kueh ,Literally means water rice cake. Traditional Teochew cupcake snack made of white steamed rice flour. Served hot and topped with preserved radish (dialect name 'chye poh' or 'chai poh') and chilli paste. Chinese 水粿 (pinyin: shui2 guo3).
claypot rice ,rice with meats and vegetables cooked and served in an earthern clay pot. It is traditionally cooked till The rice at The bottom is somewhat charred and burnt.
crab ,"Cooking style varieties include steamed, pepper, chilli, cheese, cold, with beehoon, noodles and soup. Types of crabs include Alaskan, Sri Lankan, softshell and flower crabs.
A popular dish is the Chilli crab where the crab is stir-fried in a sweet savoury thick gravy created with a base of chilli and tomato sauces, thickening flour and eggs."
mixed rice ,"Although called 'curry rice', most stalls under this category offer a variety of mixed dishes or in dialect 'chap-chye' meaning mixed vegetables. Of course dishes are not limited to vegetables and do include meat and fish unless it's a vegetarian stall."
dessert ,"Covers all types of desserts and snacks. Includes ice kachang, cheng tng, bobochacha, chendol, soya beancurd (tau huay) and others."
dim sum ,"Also spelled Tim Sum or Dianxin (Mandarin). Consists of a range of traditional cantonese dumplings, pork, chicken feet, paos (buns) and other pastries served hot in small bamboo baskets. Some like egg tarts are served simply on plates."
duck rice ,Braised or roasted duck served with rice.
